smiles_aromatic,smiles_kekulized,nb_atoms,sw_filter_chembl,sw_filter_zinc,nb_unknown_gcf_chembl,nb_unknown_ecfp_chembl,nb_unknown_gcf_chembl_zinc,nb_unknown_ecfp_chembl_zinc
S=C(S)N1CCN(C(=S)S)CC1,S=C(S)N1CCN(C(=S)S)CC1,12,1.0,1.0,0,0,0,0
CC(N)C(=O)CCC(=O)O,CC(N)C(=O)CCC(=O)O,10,1.0,1.0,0,0,0,0
CC12CCC(C(N)C1=O)C2(C)C,CC12CCC(C(N)C1=O)C2(C)C,12,1.0,1.0,0,0,0,0
CN=C(N)N(C)C(=N)N,CN=C(N)N(C)C(=N)N,9,1.0,1.0,0,0,0,0
FC(C(F)(F)F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F,10,1.0,1.0,0,0,0,0
CC(C)OC=O,CC(C)OC=O,6,1.0,1.0,0,0,0,0
COc1ccc(CON)cc1,COC1=CC=C(CON)C=C1,11,1.0,1.0,0,0,0,0
CC1(C)C2CCC(N)(C2)C1O,CC1(C)C2CCC(N)(C2)C1O,11,1.0,1.0,0,0,0,0
COC(=O)Cc1ccccc1,COC(=O)CC1=CC=CC=C1,11,1.0,1.0,0,0,0,0
Cc1cccc(N)c1,CC1=CC=CC(N)=C1,8,1.0,1.0,0,0,0,0
CC(C)CNCC(C)C,CC(C)CNCC(C)C,9,1.0,1.0,0,0,0,0
CCCNCc1cccc(F)c1,CCCNCC1=CC=CC(F)=C1,12,1.0,1.0,0,0,0,0
CN=C1CCCN1,CN=C1CCCN1,7,1.0,1.0,0,0,0,0
Nc1nc2c(s1)CC(N)CC2,NC1=NC2=C(CC(N)CC2)S1,11,1.0,1.0,0,0,0,0
CNCc1nnc(S)o1,CNCC1=NN=C(S)O1,9,1.0,1.0,0,0,0,0
NC1=Nc2cccc(F)c2CN1,NC1=NC2=CC=CC(F)=C2CN1,12,1.0,1.0,0,0,0,0
C=C(C)C(=O)OC(C)C,C=C(C)C(=O)OC(C)C,9,1.0,1.0,0,0,0,0
CC(S)C(=O)NCC(=O)O,CC(S)C(=O)NCC(=O)O,10,1.0,1.0,0,0,0,0
CCC(C)N,CCC(C)N,5,1.0,1.0,0,0,0,0
O=C1CCC(c2cccnc2)O1,O=C1CCC(C2=CC=CN=C2)O1,12,1.0,1.0,0,0,0,0
NC1CC1CC(=O)O,NC1CC1CC(=O)O,8,1.0,1.0,0,0,0,0
N#CCC(=O)O,N#CCC(=O)O,6,1.0,1.0,0,0,0,0
CC(=O)c1cccnc1,CC(=O)C1=CC=CN=C1,9,1.0,1.0,0,0,0,0
O=C1CC2CC1C1CCCC21,O=C1CC2CC1C1CCCC21,11,1.0,1.0,0,0,0,0
CC(=O)C=NCC(=O)O,CC(=O)C=NCC(=O)O,9,1.0,1.0,0,0,0,0
NOC1CCc2ccccc21,NOC1CCC2=CC=CC=C21,11,1.0,1.0,0,0,0,0
CCCC(N)Cc1ccccc1,CCCC(N)CC1=CC=CC=C1,12,1.0,1.0,0,0,0,0
NCC1C2C=CC(CC2)C1CN,NCC1C2C=CC(CC2)C1CN,12,1.0,1.0,0,0,0,0
CC(=O)C(=O)CC(C)C,CC(=O)C(=O)CC(C)C,9,1.0,1.0,0,0,0,0
CC1CCC(C(C)(C)S)C(=O)C1,CC1CCC(C(C)(C)S)C(=O)C1,12,1.0,1.0,0,0,0,0
OCCCCNC(=S)S,OCCCCNC(=S)S,9,1.0,1.0,0,0,0,0
C#CC1(O)CC(C)N(C)C(C)C1,C#CC1(O)CC(C)N(C)C(C)C1,12,1.0,1.0,0,0,0,0
NCCN=c1c(O)c(O)c1=O,NCCN=C1C(=O)C(O)=C1O,11,1.0,1.0,0,0,0,0
Cc1nnc(N)sc1=NO,CC1=NN=C(N)SC1=NO,10,1.0,1.0,0,0,0,0
O=C1OC2C(O)C(O)OC2C1O,O=C1OC2C(O)C(O)OC2C1O,12,1.0,1.0,0,0,0,0
CCC=CCCO,CCC=CCCO,7,1.0,1.0,0,0,0,0
C1C2OC2C2C1C1CC2C2OC12,C1C2OC2C2C1C1CC2C2OC12,12,1.0,1.0,0,0,0,0
O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,10,1.0,1.0,0,0,0,0
CCCC(N)(CCC)CCC,CCCC(N)(CCC)CCC,11,1.0,1.0,0,0,0,0
CC(=O)C(C)(C)C,CC(=O)C(C)(C)C,7,1.0,1.0,0,0,0,0
CSCCC(N)C(N)=O,CSCCC(N)C(N)=O,9,1.0,1.0,0,0,0,0
CSc1cnc(C)cn1,CSC1=CN=C(C)C=N1,9,1.0,1.0,0,0,0,0
NCC(N)C(=O)N1CCNCC1,NCC(N)C(=O)N1CCNCC1,12,1.0,1.0,0,0,0,0
COC(C)CCO,COC(C)CCO,7,1.0,1.0,0,0,0,0
O=CC=Cc1ccccc1,O=CC=CC1=CC=CC=C1,10,1.0,1.0,0,0,0,0
COCCC#N,COCCC#N,6,1.0,1.0,0,0,0,0
Cc1nnc(CCCF)nn1,CC1=NN=C(CCCF)N=N1,11,1.0,1.0,0,0,0,0
CC(C)C(N)C(N)=O,CC(C)C(N)C(N)=O,8,1.0,1.0,0,0,0,0
CN(C)CCN(C)C,CN(C)CCN(C)C,8,1.0,1.0,0,0,0,0
CC1=C(C)S(=O)(=O)CCS1(=O)=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,12,1.0,1.0,0,0,0,0
N=C(N)NN=Cc1ccncc1,N=C(N)NN=CC1=CC=NC=C1,12,1.0,1.0,0,0,0,0
C#CCN(C)CCCCCCO,C#CCN(C)CCCCCCO,12,1.0,1.0,0,0,0,0
CCOC(=S)N1CCN(C)CC1,CCOC(=S)N1CCN(C)CC1,12,1.0,1.0,0,0,0,0
C1CC2C3CNCC3C1C1CC21,C1CC2C3CNCC3C1C1CC21,12,1.0,1.0,0,0,0,0
Oc1nnc(C2CCNCC2)o1,OC1=NN=C(C2CCNCC2)O1,12,1.0,1.0,0,0,0,0
CN(C)C(=S)S,CN(C)C(=S)S,6,1.0,1.0,0,0,0,0
C=CN1CCCCCC1=O,C=CN1CCCCCC1=O,10,1.0,1.0,0,0,0,0
NC1CC1c1ccc(O)c(O)c1,NC1CC1C1=CC=C(O)C(O)=C1,12,1.0,1.0,0,0,0,0
O=C(O)COCC(=O)O,O=C(O)COCC(=O)O,9,1.0,1.0,0,0,0,0
CSCCC(N)C(=O)C(C)C,CSCCC(N)C(=O)C(C)C,11,1.0,1.0,0,0,0,0
C=COCCCCO,C=COCCCCO,8,1.0,1.0,0,0,0,0
CN1CCSCC1=N,CN1CCSCC1=N,8,1.0,1.0,0,0,0,0
CC(O)C#CC(C)O,CC(O)C#CC(C)O,8,1.0,1.0,0,0,0,0
N=C(N)NC(=O)NCCCCN,N=C(N)NC(=O)NCCCCN,12,1.0,1.0,0,0,0,0
CN(C)CC1CSSSC1,CN(C)CC1CSSSC1,10,1.0,1.0,0,0,0,0
C=Cc1ncc(CO)c(C)c1O,C=CC1=NC=C(CO)C(C)=C1O,12,1.0,1.0,0,0,0,0
N=C(CS)NCc1ccccc1,N=C(CS)NCC1=CC=CC=C1,12,1.0,1.0,0,0,0,0
CNC(N)NC,CNC(N)NC,6,1.0,1.0,0,0,0,0
N#CCCCC(C#N)CCC#N,N#CCCCC(C#N)CCC#N,12,1.0,1.0,0,0,0,0
CCCOC(=O)C1CN=CNC1,CCCOC(=O)C1CN=CNC1,12,1.0,1.0,0,0,0,0
CCOC(C)C(=O)C(O)O,CCOC(C)C(=O)C(O)O,10,1.0,1.0,0,0,0,0
CCCCC(CC)(CO)CO,CCCCC(CC)(CO)CO,11,1.0,1.0,0,0,0,0
CCC1NCC(O)C(O)C1O,CCC1NCC(O)C(O)C1O,11,1.0,1.0,0,0,0,0
CN(C)c1ccncc1,CN(C)C1=CC=NC=C1,9,1.0,1.0,0,0,0,0
NC1=Nc2cc(F)ccc2CN1,NC1=NC2=CC(F)=CC=C2CN1,12,1.0,1.0,0,0,0,0
CC=Cc1ccc2c(c1)OCO2,CC=CC1=CC=C2OCOC2=C1,12,1.0,1.0,0,0,0,0
N#CCN1CCCCC1,N#CCN1CCCCC1,9,1.0,1.0,0,0,0,0
CCCCCCCCS(=O)(=O)O,CCCCCCCCS(=O)(=O)O,12,1.0,1.0,0,0,0,0
O=C(CS)OCCOC(=O)CS,O=C(CS)OCCOC(=O)CS,12,1.0,1.0,0,0,0,0
NCCNC1=NCCCN1,NCCNC1=NCCCN1,10,1.0,1.0,0,0,0,0
CC(C)NCC(O)COC(C)C,CC(C)NCC(O)COC(C)C,12,1.0,1.0,0,0,0,0
O=C(O)C=CCCc1ncc[nH]1,O=C(O)C=CCCC1=NC=CN1,12,1.0,1.0,0,0,0,0
O=C(O)CN1CCCCC1,O=C(O)CN1CCCCC1,10,1.0,1.0,0,0,0,0
CN(C)C1(C(=O)O)CC1,CN(C)C1(C(=O)O)CC1,9,1.0,1.0,0,0,0,0
CCOCCC(=O)OCC,CCOCCC(=O)OCC,10,1.0,1.0,0,0,0,0
CCCCNC(N)=O,CCCCNC(N)=O,8,1.0,1.0,0,0,0,0
CN1CC=CC=C1C=NO,CN1CC=CC=C1C=NO,10,1.0,1.0,0,0,0,0
O=S(O)(O)=S,O=S(O)(O)=S,5,1.0,1.0,0,0,0,0
CC(C)N1CCNCC1,CC(C)N1CCNCC1,9,1.0,1.0,0,0,0,0
N#CNC(=S)S,N#CNC(=S)S,6,1.0,1.0,0,0,0,0
CCOC(=O)C(C)O,CCOC(=O)C(C)O,8,1.0,1.0,0,0,0,0
CNc1ccc(SC#N)cc1,CNC1=CC=C(SC#N)C=C1,11,1.0,1.0,0,0,0,0
CC1=CC=CN2CC(O)CN=C12,CC1=CC=CN2CC(O)CN=C12,12,1.0,1.0,0,0,0,0
CCCCC(CC)CCC(=O)O,CCCCC(CC)CCC(=O)O,12,1.0,1.0,0,0,0,0
CC(C)CCCCCCN,CC(C)CCCCCCN,10,1.0,1.0,0,0,0,0
